id,group_id,group_size,iter_detected,local_bkg,x_init,y_init,flux_init,x_fit,y_fit,flux_fit,x_err,y_err,flux_err,npixfit,qfit,cfit,flags,removed_from_ensemble,date-obs,AMASS,inst_mag,exposure,ra_fit,dec_fit,match_id,label,match_ra,match_dec,match_mag,check_star,vsx_id,RAJ2000,DEJ2000,separation
1,1,1,1,-1.0661354064941406,261.9367439226594,2.981017950761074,608.9406606200205,261.8301944015403,3.063401816877955,742.1706763274142,0.0879994372924862,0.1243596554429642,57.68486695320356,25,0.331411297308437,0.0118015253502718,8,False,2459934.736092245,1.14816379936,-5.230881351737931,6.0,88.31539624866252,15.998931444826521,,%,,,,False,%,,,
2,2,1,1,-0.4385452270507812,594.6454799555723,3.049986539658979,1289.7289730338978,594.5467258976823,3.123610674209156,1599.1946910612444,0.0504096023733976,0.062118398419609,62.64760886497604,25,0.1834281964356,0.018765420030075,8,False,2459934.736092245,1.14816379936,-6.06437522244099,6.0,88.17599296254542,16.000059603517627,,%,,,,False,%,,,
3,3,1,1,-0.52752685546875,460.722495519864,5.951367301313477,1310.320644428177,460.60491091565655,6.029795412711243,1606.9948055258587,0.0479183966203968,0.0668768608513866,63.58644484302644,25,0.173399693164084,0.0198036112536158,8,False,2459934.736092245,1.14816379936,-6.069658056404911,6.0,88.23210249374824,15.998435913850997,,%,,,,False,%,,,
4,4,1,1,-1.6815643310546875,1437.2076049078569,9.29783888806532,785.8280973267099,1437.260552800896,9.44931114763678,960.0363135330798,0.0563794024135504,0.0640092511773783,41.62551036678602,25,0.1858365473556113,0.0118816203480689,0,False,2459934.736092245,1.14816379936,-5.510341025568888,6.0,87.82288482770548,16.000028454281924,,%,,,,False,%,,,
5,5,1,1,-0.0932655334472656,1162.124152813493,11.211993902568464,10970.397670480706,1162.041039635374,11.33084478881718,13086.181026091866,0.0405880347270217,0.0417348057250838,386.31907981509966,25,0.1108234395871382,0.0202869658028373,8,False,2459934.736092245,1.14816379936,-8.346654183450227,6.0,87.93819264045275,15.99851205123331,,%,,,,False,%,,,
6,6,1,1,0.2502403259277344,1149.2533720864485,13.960285782191333,579.845293800216,1149.2565176401863,13.916076673173404,686.8609739876688,0.0583699724908515,0.061247721557151,31.332117345123383,25,0.1913330275750208,0.0148204386026236,0,False,2459934.736092245,1.14816379936,-5.146793977460886,6.0,87.94354143426642,15.997434016671606,,%,,,,False,%,,,
7,7,1,1,0.1243820190429687,160.8073031233617,14.839348354749758,4080.427335371194,160.71108881667874,14.93569263383937,4910.462787842501,0.0360799078310432,0.044317015119435,151.9908286003495,25,0.1134213131810449,0.0081427538173125,8,False,2459934.736092245,1.14816379936,-7.282427934661445,6.0,88.35771748887548,15.993781473536771,,%,,,,False,%,,,
8,8,1,1,-0.25469970703125,222.1910616395,15.06310273817985,11401.092765315074,222.13117515546472,15.259000164034378,12381.810653953054,0.0431026409264735,0.0442019953713333,389.1820707811772,25,0.1297211167140713,-0.0087883582457715,0,False,2459934.736092245,1.14816379936,-8.286582269984011,6.0,88.33198329195305,15.993875777037996,,%,,,,False,%,,,
9,9,1,1,-0.7700042724609375,1407.7623914498631,15.814405614286215,542.1489953643246,1407.6214826902867,15.88728566749728,708.5677347975555,0.095645497905399,0.1032488136458689,56.28433791573534,25,0.3438461340144549,0.0115721296617259,0,False,2459934.736092245,1.14816379936,-5.18057530528692,6.0,87.83528525668697,15.997356580149805,,%,,,,False,%,,,
10,10,1,1,-0.8492507934570312,421.2947338296988,19.15016077836308,1220.1452293667298,421.284530639192,19.19491927707058,1397.1958163416623,0.048402670973082,0.0524705203480104,53.17769442462371,25,0.1802755819523866,0.0067983188761625,0,False,2459934.736092245,1.14816379936,-5.917765065412739,6.0,88.24852958211105,15.992997415966048,,%,,,,False,%,,,
