id,group_id,group_size,iter_detected,local_bkg,x_init,y_init,flux_init,x_fit,y_fit,flux_fit,x_err,y_err,flux_err,npixfit,qfit,cfit,flags,removed_from_ensemble,date-obs,AMASS,inst_mag,exposure,ra_fit,dec_fit,match_id,label,match_ra,match_dec,match_mag,check_star,vsx_id,RAJ2000,DEJ2000,separation
1,1,1,1,-1.164520263671875,305.81125312385484,2.3569511647234567,1808.3627253628329,305.83486110870393,2.4017089290848173,2178.7134973412167,0.1131548921659251,0.0872071325481108,120.82436952546313,25,0.2225323232475723,0.0103992128787413,0,False,2459934.736427199,1.14942996252,-3.4598940361792154,90.0,88.29708600503812,15.999320110958198,,%,,,,False,%,,,
2,2,1,1,2.8070526123046875,503.7833092103244,1.6436079602271656,1340.3253291779668,503.6746383129626,1.5250305041696763,1640.4498130571858,0.112716778337324,0.0906622327550562,97.44135522650076,25,0.2237981319305382,0.0122763622689036,0,False,2459934.736427199,1.14942996252,-3.151801097349296,90.0,88.21418309897503,16.000352509452927,,%,,,,False,%,,,
3,3,1,1,1.549560546875,262.1237244938573,3.0317381062153395,5145.817813048361,262.32518575413485,3.061855129645077,6172.752708233022,0.0610171001476807,0.042840208773617,171.75374475396754,25,0.1196308207309065,0.0094090751650374,0,False,2459934.736427199,1.14942996252,-4.590590923111922,90.0,88.31531639979644,15.998900558664998,,%,,,,False,%,,,
4,4,1,1,1.0312652587890625,594.9654621672573,3.0730896918285118,9273.054738033476,595.0835181859103,3.116010604721854,11249.704856255772,0.045081446257999,0.0340495206692156,249.56953012389457,25,0.0902260469243464,0.0055311094988004,0,False,2459934.736427199,1.14942996252,-5.242246547857717,90.0,88.17587181043534,16.000014789806325,,%,,,,False,%,,,
5,5,1,1,-1.7678680419921875,122.13064848000536,4.269306688346973,1931.0845747627643,122.39256553202324,4.345500675131529,2314.5704825310804,0.0714422189312894,0.0523539686700524,75.81846116999347,25,0.1108956647750934,0.004255302603144,0,False,2459934.736427199,1.14942996252,-3.5255697521802354,90.0,88.37395004561667,15.997878939452352,,%,,,,False,%,,,
6,6,1,1,1.934844970703125,620.1328608185936,4.61133329899031,2710.663779447136,620.4625687481691,4.560635882938119,3193.751857209474,0.0738939280485326,0.0586364680524696,122.11089695554747,25,0.1495353147907601,0.0050448134459518,8,False,2459934.736427199,1.14942996252,-3.875146651468984,90.0,88.16523155611169,15.999515858044603,,%,,,,False,%,,,
7,7,1,1,-0.3500518798828125,461.0124836759164,5.900943191924515,10425.928928590083,461.118364626533,5.86868097162808,12583.772247754803,0.0498582619226275,0.035808263278863,308.5810118781246,25,0.0999870650503336,0.0056171582235845,0,False,2459934.736427199,1.14942996252,-5.363920850003016,90.0,88.23200139696783,15.998459487455575,,%,,,,False,%,,,
8,8,1,1,1.208526611328125,673.158837944841,7.57211374658922,1113.8360346026902,673.0767366583822,7.749807503462831,1918.8086196877543,0.5934585554791253,0.4366139622684848,541.4989468660774,25,0.965241447958776,0.1860374486862359,8,False,2459934.736427199,1.14942996252,-3.3219728782503397,90.0,88.14317239073651,15.99840158644365,,%,,,,False,%,,,
9,9,1,1,0.3591156005859375,912.801982469069,8.257809841661286,2528.4513411136218,912.8769535607088,8.309627695967484,2912.397176291327,0.075996577486758,0.059372261433298,105.25715608572855,25,0.1397958780037427,0.0068537373235109,0,False,2459934.736427199,1.14942996252,-3.7750202296778,90.0,88.04268004229094,15.998923835624966,,%,,,,False,%,,,
10,10,1,1,0.957305908203125,731.982247579992,9.05137917429613,1393.90210797832,731.9569724976791,9.021767200849574,1782.3800513724518,1.4725692532713954,1.060484406797136,1296.8360733118975,25,1.422442498376532,0.6693420016088061,8,False,2459934.736427199,1.14942996252,-3.24189450850406,90.0,88.11849393932528,15.998077172429637,,%,,,,False,%,,,
