type,name,comp,IMV,IMR,V,R,delta_v_minus_r,delta_V_minus_R,delta_v,delta_r,comp_v_minus_r,V_star,R_star,outlier,color,JD,KMAGS,KMAGINS,KREFMAG,T_vr,Tr_vr,VMAGINS,Date-Obs,KNAME,AMASS
check,118,127.0,-6.869995442901919,-7.484511649280106,12.673,12.335,-0.21578717327275765,-0.2455658031843982,-0.8910741849568229,-0.6752870116840652,0.6145162063781866,11.767437432655298,11.673464673294262,,,,,,,,,,,,
check,118,130.0,-6.548905525475318,-7.215544716843024,12.992,12.567,-0.2679101582622767,-0.30488176010247087,-1.212164102383424,-0.9442539441211473,0.6666391913677057,11.761847873770531,11.639819434444592,,,,,,,,,,,,
check,118,136.0,-5.936707582426913,-6.655693766830079,13.585,13.143,-0.3202571512977368,-0.36445263817682444,-1.8243620454318288,-1.504104894134092,0.7189861844031658,11.739135248915739,11.659304453603811,,,,,,,,,,,,
check,118,141.0,-5.478962367776847,-6.069780255288339,14.077,13.704,-0.19208885440606238,-0.21859711631409898,-2.2821072600818946,-2.090018405675832,0.5908178875114913,11.781995510055573,11.626223032837757,,,,,,,,,,,,
check,118,144.0,-5.157642738479421,-5.736265315476073,14.434,14.041,-0.17989354389122347,-0.2047188529482123,-2.603426889379321,-2.4235333454880976,0.5786225769966524,11.818494698296734,11.628930910277003,<--OUTLIER,,,,,,,,,,,
var,Z Tau,127.0,-6.869995442901919,-7.484511649280106,12.673,12.335,5.197587102788386,5.914854122973183,4.928380871397293,-0.26920623139109345,0.6145162063781866,17.95035726465271,11.73456193772241,,,,,,,,,,,,
var,Z Tau,130.0,-6.548905525475318,-7.215544716843024,12.992,12.567,5.145464117798867,5.85553816605511,4.607290953970692,-0.5381731638281755,0.6666391913677057,17.944767705767944,11.700916698872739,,,,,,,,,,,,
var,Z Tau,136.0,-5.936707582426913,-6.655693766830079,13.585,13.143,5.093117124763407,5.795967287980757,3.995093010922287,-1.0980241138411202,0.7189861844031658,17.922055080913154,11.720401718031958,,,,,,,,,,,,
var,Z Tau,141.0,-5.478962367776847,-6.069780255288339,14.077,13.704,5.2212854216550815,5.941822809843482,3.537347796272221,-1.6839376253828604,0.5908178875114913,17.964915342052986,11.687320297265906,,,,,,,,,,,,
var,Z Tau,144.0,-5.157642738479421,-5.736265315476073,14.434,14.041,5.23348073216992,5.955701073209369,3.2160281669747945,-2.017452565195126,0.5786225769966524,18.001414530294145,11.69002817470515,,,,,,,,,,,,
,,,,,,,,,,,,,,,V,2459934.736427199,11.773782152738773,-7.761069627858742,11.81,1.138,-0.056,-1.941614571504626,2459934.7369480324,118,1.14942996252
,,,,,,,,,,,,,,,R,2459934.736092245,11.645548500891485,-8.15979866096417,11.666,1.138,-0.056,-7.753717880671199,2459934.7361269672,118,1.14816379936
