x,y,stale
727,6,False
1483,36,False
1391,36,False
581,74,False
312,64,False
917,63,False
1029,38,False
920,38,False
140,106,False
302,108,False
1209,131,False
670,123,False
578,163,False
352,152,False
1205,146,False
328,146,False
1518,187,False
588,207,False
1354,186,False
856,178,False
490,204,False
1494,216,False
509,235,False
1197,248,False
194,226,False
481,308,False
637,292,False
810,281,False
443,274,False
105,251,False
645,340,False
1523,323,False
937,312,False
1087,381,False
1225,387,False
714,388,False
817,399,False
665,462,False
863,472,False
1381,481,False
1153,482,False
92,478,False
29,447,False
901,469,False
760,484,False
1025,485,False
758,507,False
1242,494,False
963,529,False
1494,511,False
1026,500,False
1461,525,False
1414,503,False
1240,586,False
587,587,False
946,587,False
1234,589,False
1433,641,False
237,606,False
1391,614,False
1420,649,False
1322,654,False
1320,693,False
1519,688,False
1471,692,False
372,715,False
861,732,False
368,728,False
1335,695,False
268,704,False
861,732,True
266,727,False
142,795,False
215,794,False
932,790,False
934,837,False
1388,827,False
587,851,False
769,894,False
497,890,False
1304,876,False
805,958,False
147,946,False
494,917,False
1027,918,False
1317,909,False
154,954,False
976,954,False
730,1012,False
618,994,False
1015,1008,False
41,1007,False
