x,y,stale
245,296,False
556,414,False
343,336,False
299,162,False
1427,427,False
1215,133,False
1257,94,False
1377,76,False
1466,32,False
1330,658,False
897,616,False
948,514,False
1163,692,False
1240,592,False
1437,643,False
219,767,False
375,718,False
377,549,False
434,726,False
144,980,False
235,828,False
496,922,False
1311,881,False
727,4,False
668,3,False
942,15,False
1055,16,False
977,18,False
851,18,False
1419,12,False
615,16,False
393,27,False
1030,22,False
89,29,False
1469,26,False
1428,26,False
728,29,False
177,31,False
487,21,False
250,26,False
1483,35,False
294,40,False
921,38,False
1134,37,False
32,51,False
815,39,False
1243,55,False
155,56,False
695,79,False
36,76,False
1118,66,False
256,77,False
1251,90,True
907,92,False
1176,96,False
24,98,False
824,104,False
1036,119,False
245,107,False
1209,131,True
1155,136,False
1466,140,False
217,123,False
153,122,False
228,125,False
727,4,True
668,3,True
942,15,True
281,11,False
307,8,False
1134,37,True
1469,26,True
46,72,False
1251,90,True
1191,89,False
907,92,True
930,92,False
106,94,False
695,79,True
1176,96,True
24,98,True
321,134,False
1209,131,True
326,129,False
279,128,False
1155,136,True
1466,140,True
285,174,False
293,156,True
1143,158,False
20,154,False
1518,185,False
494,181,False
282,212,False
996,242,False
1448,257,False
653,249,False
366,244,False
685,244,False
972,272,False
454,272,False
1252,268,False
942,15,True
1134,37,True
1251,90,True
695,79,True
907,92,True
1155,136,True
1209,131,True
1000,151,False
293,156,True
996,242,True
1252,268,True
499,427,False
391,427,False
668,3,True
727,4,True
942,15,True
1030,22,True
393,27,True
1460,26,True
487,21,True
1134,37,True
1243,55,True
538,70,True
1251,90,True
1191,89,True
907,92,True
1176,96,True
824,104,True
1209,131,True
217,123,True
1000,151,True
637,148,False
293,156,True
353,152,False
1466,140,True
285,174,True
494,181,True
1127,175,True
668,3,True
727,4,True
942,15,True
281,11,True
215,20,True
1134,37,True
399,46,False
1243,55,True
1251,90,True
1176,96,True
907,92,True
695,79,True
580,83,True
24,98,True
51,105,True
1209,131,True
1155,136,True
1455,137,True
1000,151,True
541,147,False
353,152,True
1143,158,True
293,156,True
494,181,True
1355,186,False
807,175,False
415,183,True
1095,191,False
455,204,False
946,191,True
1253,197,False
180,226,True
826,227,False
646,214,True
1213,216,True
895,219,True
1207,230,True
996,242,True
1252,268,True
21,266,False
1448,257,True
1167,253,False
668,277,False
1099,274,True
1162,264,False
109,290,True
807,298,False
48,313,True
1514,317,True
461,315,False
1034,305,False
1394,299,True
637,310,False
1174,326,True
1017,324,False
270,330,False
1155,330,False
1281,332,True
1226,331,False
286,326,False
1121,328,False
1150,342,False
1511,336,True
1100,348,True
1125,349,False
610,352,False
1100,348,True
331,374,True
1255,378,True
344,374,False
826,353,False
832,354,False
75,366,True
942,371,False
390,391,False
617,398,True
550,406,False
1119,406,True
147,407,True
27,436,False
112,443,False
499,427,True
391,427,True
1441,424,True
1418,445,True
226,450,True
510,457,True
63,458,False
463,458,True
1253,455,False
1167,455,False
1152,453,True
1265,446,False
919,468,False
462,464,False
900,490,True
486,486,False
1134,482,False
942,510,True
886,503,True
448,499,True
1508,510,False
1405,522,True
1286,540,True
373,542,True
343,545,False
42,551,False
727,4,True
942,15,True
487,21,True
668,3,True
1134,37,True
907,92,True
695,79,True
1209,131,True
1155,136,True
279,128,True
293,156,True
1000,151,True
637,148,True
353,152,True
117,170,True
1095,191,True
494,181,True
996,242,True
1167,253,True
1448,257,True
1252,268,True
1183,289,True
157,284,False
455,280,False
637,310,True
133,303,False
94,299,True
1034,305,True
1155,330,True
1226,331,True
1125,349,True
748,348,False
323,344,False
832,354,True
610,352,True
926,350,True
802,361,True
344,374,True
691,374,False
942,371,True
1155,374,False
897,398,False
978,403,False
390,391,True
689,386,False
550,406,True
499,427,True
27,436,True
391,427,True
1028,430,False
919,468,True
1243,494,False
486,486,True
1414,502,False
1516,502,True
1508,510,True
942,510,True
545,523,True
343,545,True
1113,546,True
373,542,True
1094,568,True
1323,566,False
1252,573,False
1234,589,True
1249,586,True
57,589,True
1229,593,True
915,597,True
352,605,False
1028,611,False
618,619,False
497,615,False
437,637,True
133,632,False
569,626,False
153,625,False
294,655,False
1322,654,True
299,669,False
1422,661,True
1155,665,False
1201,669,False
139,677,True
1199,677,False
1365,677,False
