x,y,stale
289,106,False
626,120,False
260,111,False
809,108,False
163,107,False
1182,84,False
465,49,False
912,130,False
660,133,False
554,201,False
838,229,False
766,217,False
1161,139,False
764,256,False
601,224,False
823,328,False
70,349,False
509,371,False
260,274,False
707,327,False
1034,384,False
306,428,False
1031,429,False
959,432,False
466,421,False
1082,400,False
207,390,False
1116,397,False
561,398,False
1043,563,False
249,583,False
349,524,False
796,531,False
136,493,False
502,499,False
914,618,False
921,627,False
9,643,False
92,678,False
1150,659,False
679,638,False
530,606,False
978,599,False
1171,768,False
1019,733,False
557,715,False
225,713,False
19,745,False
554,759,False
565,754,False
